gene	gene_id	polyA_length	G_readsnum	average_G_content
AT3G11630|AT3G11630.1	AT3G11630	34	236	0.003255062
AT1G31330|AT1G31330.1	AT1G31330	36	203	0.002855613
AT2G39730|AT2G39730.3	AT2G39730	41	234	0.00289827
AT2G39730|AT2G39730.2	AT2G39730	41	242	0.003139245
AT2G39730|AT2G39730.1	AT2G39730	41	245	0.003078468
AT5G20290|AT5G20290.1	AT5G20290	28	155	0.002711984
AT3G09260|AT3G09260.1	AT3G09260	35	212	0.003415409
AT4G05180|AT4G05180.2	AT4G05180	35	162	0.002737073
AT4G05180|AT4G05180.1	AT4G05180	35	167	0.002718629
AT5G24770|AT5G24770.2	AT5G24770	33	163	0.002925794
AT2G30860|AT2G30860.2	AT2G30860	34	149	0.002630313
AT1G23310|AT1G23310.1	AT1G23310	32	128	0.002216354
AT5G01530|AT5G01530.1	AT5G01530	38	183	0.003016758
AT5G12140|AT5G12140.1	AT5G12140	35	169	0.003043046
AT5G66570|AT5G66570.1	AT5G66570	38	194	0.003218543
AT2G30860|AT2G30860.1	AT2G30860	34	161	0.002921022
AT2G46820|AT2G46820.2	AT2G46820	30	148	0.002969972
AT1G30230|AT1G30230.1	AT1G30230	36	136	0.002293301
AT1G23310|AT1G23310.2	AT1G23310	34	148	0.002752737
AT3G27690|AT3G27690.1	AT3G27690	25	123	0.002709024
AT4G12800|AT4G12800.2	AT4G12800	35	133	0.00249988
AT5G15200|AT5G15200.1	AT5G15200	27	121	0.002620053
AT2G30570|AT2G30570.1	AT2G30570	32	165	0.003227496
AT3G46780|AT3G46780.1	AT3G46780	28	122	0.002797414
AT1G31580|AT1G31580.1	AT1G31580	27	139	0.003183469
AT1G30230|AT1G30230.2	AT1G30230	36	155	0.003081014
AT4G12800|AT4G12800.1	AT4G12800	35	121	0.002413087
AT3G26650|AT3G26650.1	AT3G26650	31	123	0.002464594
AT2G46820|AT2G46820.1	AT2G46820	30	123	0.002793402
AT3G23390|AT3G23390.1	AT3G23390	29	130	0.002903312
AT4G38740|AT4G38740.1	AT4G38740	31	124	0.002535816
AT3G27690|AT3G27690.2	AT3G27690	25	90	0.00224824
AT1G03680|AT1G03680.1	AT1G03680	32	137	0.002842131
AT4G03520|AT4G03520.1	AT4G03520	35	123	0.002694014
AT4G34620|AT4G34620.1	AT4G34620	28	118	0.00304517
AT5G64350|AT5G64350.1	AT5G64350	31	102	0.002265831
AT1G56045|AT1G56045.1	AT1G56045	33	116	0.002563383
AT1G64370|AT1G64370.1	AT1G64370	43	142	0.002437215
AT5G06845|AT5G06845.1	AT5G06845	41	288	0.005732695
AT1G09690|AT1G09690.1	AT1G09690	25	76	0.002209113
AT1G62510|AT1G62510.1	AT1G62510	29	110	0.002774671
AT4G03280|AT4G03280.1	AT4G03280	37	123	0.002560466
AT4G10340|AT4G10340.1	AT4G10340	29	100	0.002461664
AT3G62410|AT3G62410.1	AT3G62410	33	103	0.002451687
AT5G14740|AT5G14740.3	AT5G14740	28	98	0.002775316
AT1G42960|AT1G42960.1	AT1G42960	32	93	0.002347563
AT2G25510|AT2G25510.1	AT2G25510	26	98	0.002558992
AT5G14740|AT5G14740.4	AT5G14740	28	93	0.002478019
AT5G14740|AT5G14740.5	AT5G14740	28	95	0.002543613
AT5G14740|AT5G14740.1	AT5G14740	28	90	0.002549947
AT5G24770|AT5G24770.1	AT5G24770	34	110	0.002575196
AT5G14740|AT5G14740.6	AT5G14740	29	79	0.002113606
AT5G14740|AT5G14740.2	AT5G14740	28	99	0.002973362
AT5G14740|AT5G14740.7	AT5G14740	28	99	0.002865821
AT3G56880|AT3G56880.1	AT3G56880	38	131	0.003067364
AT5G14740|AT5G14740.9	AT5G14740	28	91	0.002454971
AT4G03280|AT4G03280.2	AT4G03280	38	129	0.002842845
AT3G15190|AT3G15190.1	AT3G15190	31	89	0.002540958
AT2G47400|AT2G47400.1	AT2G47400	41	121	0.002757511
AT2G24940|AT2G24940.1	AT2G24940	30	112	0.003145659
AT5G14740|AT5G14740.8	AT5G14740	29	91	0.002715405
AT2G34430|AT2G34430.1	AT2G34430	39	101	0.002509749
AT4G01150|AT4G01150.1	AT4G01150	38	98	0.00235451
AT4G01150|AT4G01150.2	AT4G01150	38	100	0.002389362
AT5G02500|AT5G02500.2	AT5G02500	35	103	0.00264574
AT3G04400|AT3G04400.2	AT3G04400	31	97	0.002688915
AT2G39800|AT2G39800.2	AT2G39800	34	106	0.002898275
AT2G39800|AT2G39800.1	AT2G39800	34	96	0.002619796
AT3G04400|AT3G04400.1	AT3G04400	31	90	0.002624263
AT5G02500|AT5G02500.1	AT5G02500	35	77	0.002008934
AT2G36120|AT2G36120.1	AT2G36120	36	108	0.002778782
AT3G18740|AT3G18740.1	AT3G18740	30	69	0.002104758
AT3G26520|AT3G26520.1	AT3G26520	30	75	0.002486218
AT1G18060|AT1G18060.1	AT1G18060	39	104	0.002790718
AT3G15360|AT3G15360.1	AT3G15360	35	86	0.00239071
AT3G04120|AT3G04120.1	AT3G04120	33	89	0.002442997
AT5G54600|AT5G54600.1	AT5G54600	35	87	0.002507806
AT1G15820|AT1G15820.1	AT1G15820	31	81	0.002347238
AT5G02450|AT5G02450.1	AT5G02450	29	93	0.002825556
AT2G38140|AT2G38140.1	AT2G38140	31	105	0.003278862
AT3G15353|AT3G15353.1	AT3G15353	42	110	0.002568075
AT4G33010|AT4G33010.2	AT4G33010	28	60	0.002155618
AT4G11150|AT4G11150.1	AT4G11150	27	62	0.002161874
AT4G33010|AT4G33010.1	AT4G33010	28	77	0.002746187
AT3G50820|AT3G50820.1	AT3G50820	29	86	0.002840657
AT5G54600|AT5G54600.2	AT5G54600	35	94	0.002979583
AT2G36530|AT2G36530.1	AT2G36530	34	100	0.002896752
AT2G37220|AT2G37220.1	AT2G37220	39	115	0.002886714
AT1G71500|AT1G71500.1	AT1G71500	31	73	0.002315543
AT3G15730|AT3G15730.1	AT3G15730	29	76	0.00261469
AT3G48560|AT3G48560.1	AT3G48560	31	89	0.002879872
AT4G37980|AT4G37980.1	AT4G37980	33	91	0.002821763
AT4G27090|AT4G27090.1	AT4G27090	29	78	0.002846501
AT2G34480|AT2G34480.2	AT2G34480	28	66	0.002312572
AT2G34480|AT2G34480.1	AT2G34480	29	65	0.002265352
AT4G32260|AT4G32260.1	AT4G32260	29	85	0.002940511
AT2G36530|AT2G36530.2	AT2G36530	33	90	0.002808989
AT2G40205|AT2G40205.1	AT2G40205	26	69	0.002599713
AT3G06700|AT3G06700.1	AT3G06700	31	66	0.002239433
AT5G58070|AT5G58070.1	AT5G58070	31	60	0.002092312
AT3G26740|AT3G26740.1	AT3G26740	37	85	0.002789867
AT3G09500|AT3G09500.1	AT3G09500	31	58	0.001894057
AT2G45960|AT2G45960.3	AT2G45960	30	59	0.002272653
AT1G28290|AT1G28290.2	AT1G28290	34	78	0.002897536
AT5G38430|AT5G38430.2	AT5G38430	32	64	0.002322622
AT2G45960|AT2G45960.2	AT2G45960	29	58	0.002407841
AT5G42980|AT5G42980.1	AT5G42980	38	89	0.002961751
AT5G58250|AT5G58250.1	AT5G58250	38	71	0.002196317
AT1G17880|AT1G17880.1	AT1G17880	30.5	78	0.002683739
AT5G58375|AT5G58375.1	AT5G58375	31	47	0.001696008
AT3G09390|AT3G09390.2	AT3G09390	32	70	0.002868292
AT5G03240|AT5G03240.2	AT5G03240	38	76	0.002413676
AT5G03240|AT5G03240.1	AT5G03240	38	77	0.002664581
AT2G45960|AT2G45960.1	AT2G45960	30	63	0.002586794
AT3G16240|AT3G16240.1	AT3G16240	31	85	0.003453296
AT5G03240|AT5G03240.3	AT5G03240	39	82	0.00262662
AT5G38430|AT5G38430.1	AT5G38430	31	65	0.002617531
AT5G11740|AT5G11740.1	AT5G11740	32	77	0.00284863
AT1G28290|AT1G28290.1	AT1G28290	32	66	0.002691123
AT4G21960|AT4G21960.1	AT4G21960	34	61	0.002339856
AT1G32920|AT1G32920.1	AT1G32920	35	78	0.002966223
AT4G39090|AT4G39090.1	AT4G39090	34	83	0.003103482
AT4G32020|AT4G32020.1	AT4G32020	36	74	0.002546797
AT1G76180|AT1G76180.1	AT1G76180	31	63	0.002529301
AT5G17870|AT5G17870.1	AT5G17870	34	68	0.002925469
AT1G52740|AT1G52740.1	AT1G52740	28	47	0.002241435
AT4G35100|AT4G35100.1	AT4G35100	35	78	0.003110154
AT1G35680|AT1G35680.1	AT1G35680	36	65	0.002421555
AT5G17870|AT5G17870.2	AT5G17870	34	55	0.002114678
AT5G67300|AT5G67300.1	AT5G67300	31	76	0.003392455
AT5G59690|AT5G59690.1	AT5G59690	29	63	0.002910636
AT5G47700|AT5G47700.2	AT5G47700	33	51	0.00223351
AT5G60390|AT5G60390.2	AT5G60390	32	65	0.002770714
AT3G12780|AT3G12780.1	AT3G12780	32	56	0.002535244
AT5G65220|AT5G65220.1	AT5G65220	36	86	0.003543735
AT3G08940|AT3G08940.1	AT3G08940	34	67	0.002876074
AT5G60390|AT5G60390.3	AT5G60390	30	69	0.002925364
AT5G47700|AT5G47700.1	AT5G47700	32	70	0.002865969
AT3G08940|AT3G08940.2	AT3G08940	35	63	0.002597496
AT4G14320|AT4G14320.1	AT4G14320	36	81	0.003098533
AT5G60390|AT5G60390.1	AT5G60390	31	54	0.002514834
AT4G34670|AT4G34670.1	AT4G34670	28	42	0.001878221
AT4G37830|AT4G37830.1	AT4G37830	37	63	0.002392508
AT4G29350|AT4G29350.1	AT4G29350	30	66	0.00313244
AT3G06700|AT3G06700.2	AT3G06700	31	54	0.002356638
AT2G40000|AT2G40000.1	AT2G40000	39	60	0.002240728
AT3G18490|AT3G18490.1	AT3G18490	31	63	0.003197276
AT5G13630|AT5G13630.1	AT5G13630	40	77	0.002956053
AT1G62480|AT1G62480.1	AT1G62480	31	70	0.003623334
AT3G06700|AT3G06700.3	AT3G06700	30	60	0.002810793
AT5G64310|AT5G64310.1	AT5G64310	40	60	0.002282722
AT4G24770|AT4G24770.2	AT4G24770	30	53	0.002517229
AT4G15545|AT4G15545.1	AT4G15545	35	54	0.002464857
AT5G19510|AT5G19510.1	AT5G19510	30	56	0.002704302
AT1G32060|AT1G32060.1	AT1G32060	33.5	51	0.002148354
AT2G25080|AT2G25080.1	AT2G25080	35	68	0.003185703
AT3G56825|AT3G56825.1	AT3G56825	29	160	0.008101244
AT3G55440|AT3G55440.1	AT3G55440	31.5	47	0.002251104
AT4G09010|AT4G09010.1	AT4G09010	11	617	0.170280078
AT5G43850|AT5G43850.1	AT5G43850	27	50	0.002706752
AT5G13630|AT5G13630.2	AT5G13630	39	67	0.002438593
AT3G18410|AT3G18410.1	AT3G18410	36	67	0.00293152
AT4G24770|AT4G24770.1	AT4G24770	31	60	0.002922614
AT3G15353|AT3G15353.2	AT3G15353	39	59	0.002612181
AT4G37830|AT4G37830.2	AT4G37830	36	66	0.003091957
AT2G21580|AT2G21580.2	AT2G21580	31	62	0.003240109
AT2G20260|AT2G20260.1	AT2G20260	37	68	0.002898993
AT1G54500|AT1G54500.1	AT1G54500	31	41	0.002006146
AT4G33666|AT4G33666.1	AT4G33666	34	54	0.002525561
AT4G20150|AT4G20150.1	AT4G20150	30	35	0.001968944
AT1G35720|AT1G35720.1	AT1G35720	39	59	0.002526285
AT5G15230|AT5G15230.2	AT5G15230	41	69	0.00288698
AT3G48140|AT3G48140.1	AT3G48140	37	56	0.002484619
AT2G46600|AT2G46600.1	AT2G46600	35	57	0.00260902
AT5G09810|AT5G09810.1	AT5G09810	29	51	0.002842962
AT5G54280|AT5G54280.2	AT5G54280	42	68	0.002492557
AT3G62530|AT3G62530.1	AT3G62530	29	38	0.00186469
AT5G17920|AT5G17920.1	AT5G17920	32	50	0.002581334
AT1G75950|AT1G75950.1	AT1G75950	30	63	0.003282175
AT5G07030|AT5G07030.1	AT5G07030	26	47	0.003052289
AT1G02780|AT1G02780.1	AT1G02780	34	49	0.002290756
AT3G61430|AT3G61430.2	AT3G61430	32	52	0.002799378
AT2G26500|AT2G26500.2	AT2G26500	40	63	0.002854675
AT1G68010|AT1G68010.1	AT1G68010	33	45	0.002164408
AT3G61430|AT3G61430.1	AT3G61430	30	33	0.001797965
AT1G20620|AT1G20620.4	AT1G20620	33	56	0.002615177
AT2G23120|AT2G23120.1	AT2G23120	38.5	62	0.002813159
AT2G18020|AT2G18020.1	AT2G18020	29	48	0.00257044
AT1G58360|AT1G58360.1	AT1G58360	32	42	0.002239181
AT3G06355|AT3G06355.1	AT3G06355	27	134	0.008013623
AT3G54890|AT3G54890.4	AT3G54890	36	64	0.003217811
AT5G15230|AT5G15230.1	AT5G15230	40	41	0.001839026
AT2G47610|AT2G47610.1	AT2G47610	32	47	0.002617926
AT5G66040|AT5G66040.1	AT5G66040	38	74	0.003567519
AT3G02080|AT3G02080.1	AT3G02080	26	36	0.00226632
AT3G27850|AT3G27850.1	AT3G27850	36	53	0.002462188
AT1G34030|AT1G34030.1	AT1G34030	31	58	0.003067485
AT5G40730|AT5G40730.1	AT5G40730	34	50	0.002335272
AT4G04565|AT4G04565.1	AT4G04565	35	104	0.005278186
AT5G42530|AT5G42530.1	AT5G42530	29	31	0.001772669
AT1G55480|AT1G55480.1	AT1G55480	35	48	0.002268481
AT1G29070|AT1G29070.1	AT1G29070	33	51	0.002658438
AT1G66100|AT1G66100.1	AT1G66100	33	52	0.002481504
AT1G20620|AT1G20620.6	AT1G20620	34	49	0.002648886
AT5G17920|AT5G17920.2	AT5G17920	31	50	0.002746175
AT4G34050|AT4G34050.3	AT4G34050	32	55	0.003195507
AT1G20620|AT1G20620.7	AT1G20620	34	43	0.002158307
AT3G62250|AT3G62250.1	AT3G62250	26	46	0.00285149
AT1G20620|AT1G20620.1	AT1G20620	34	53	0.003006247
AT4G25890|AT4G25890.1	AT4G25890	32	46	0.002640458
AT1G20620|AT1G20620.2	AT1G20620	33	52	0.002876732
AT2G21580|AT2G21580.1	AT2G21580	31	41	0.002583718
AT3G54890|AT3G54890.3	AT3G54890	35	50	0.002635229
AT2G27385|AT2G27385.1	AT2G27385	34	45	0.002780789
AT5G35630|AT5G35630.1	AT5G35630	30	55	0.003179487
AT5G66040|AT5G66040.2	AT5G66040	39	68	0.003493822
AT1G21310|AT1G21310.1	AT1G21310	36	54	0.002996911
AT4G27520|AT4G27520.1	AT4G27520	36	46	0.00243499
AT2G34410|AT2G34410.2	AT2G34410	35	49	0.002474454
AT4G16980|AT4G16980.1	AT4G16980	33	54	0.002871913
AT1G20620|AT1G20620.5	AT1G20620	33	36	0.001926973
AT4G34050|AT4G34050.1	AT4G34050	32	62	0.003499825
AT4G36040|AT4G36040.1	AT4G36040	33	347	0.01918661
AT3G51600|AT3G51600.1	AT3G51600	30	33	0.002014373
AT5G66190|AT5G66190.1	AT5G66190	33	52	0.00304953
AT1G07610|AT1G07610.1	AT1G07610	33	41	0.002237705
AT5G15970|AT5G15970.1	AT5G15970	33	51	0.003120048
AT4G30440|AT4G30440.1	AT4G30440	35	32	0.001736195
AT1G52300|AT1G52300.1	AT1G52300	33	38	0.002251309
AT1G07920|AT1G07920.1	AT1G07920	30	49	0.003206964
AT5G14320|AT5G14320.2	AT5G14320	35	51	0.002879594
AT1G16410|AT1G16410.1	AT1G16410	34.5	59	0.003276509
AT4G11600|AT4G11600.1	AT4G11600	31	55	0.00343026
AT3G56020|AT3G56020.1	AT3G56020	30	37	0.002181315
AT3G53020|AT3G53020.1	AT3G53020	32	52	0.002992313
AT2G20270|AT2G20270.1	AT2G20270	41	53	0.002752255
AT3G47650|AT3G47650.1	AT3G47650	31	37	0.002297047
AT5G35630|AT5G35630.2	AT5G35630	31	46	0.00266014
AT3G13520|AT3G13520.1	AT3G13520	31	53	0.003413697
AT1G69620|AT1G69620.1	AT1G69620	30	43	0.002583695
AT5G14320|AT5G14320.1	AT5G14320	34	50	0.002519389
AT3G05730|AT3G05730.1	AT3G05730	35	48	0.002712433
AT2G01520|AT2G01520.1	AT2G01520	38	56	0.002996911
AT1G06680|AT1G06680.2	AT1G06680	38	56	0.002945508
AT3G62550|AT3G62550.1	AT3G62550	36	42	0.002280502
AT5G35630|AT5G35630.3	AT5G35630	32	49	0.00288396
AT5G66190|AT5G66190.2	AT5G66190	33	48	0.002609918
AT5G19140|AT5G19140.2	AT5G19140	35	66	0.004132437
AT4G05320|AT4G05320.7	AT4G05320	36	52	0.002865051
AT1G06680|AT1G06680.1	AT1G06680	39	50	0.002537845
AT4G27280|AT4G27280.1	AT4G27280	30	41	0.002681699
AT4G05320|AT4G05320.5	AT4G05320	36	42	0.002709093
AT4G35090|AT4G35090.2	AT4G35090	32	32	0.002239948
AT4G05320|AT4G05320.6	AT4G05320	37	57	0.00334794
AT1G75350|AT1G75350.1	AT1G75350	31	42	0.002461814
AT5G01870|AT5G01870.1	AT5G01870	36.5	46	0.002547641
AT5G10860|AT5G10860.1	AT5G10860	31	49	0.003069025
AT3G09840|AT3G09840.1	AT3G09840	31	46	0.0029628
AT5G08040|AT5G08040.1	AT5G08040	30	41	0.002584435
AT4G05320|AT4G05320.4	AT4G05320	37	53	0.003164716
AT4G35090|AT4G35090.1	AT4G35090	32	42	0.002651787
AT3G22890|AT3G22890.1	AT3G22890	37	59	0.003329742
AT5G25610|AT5G25610.1	AT5G25610	32	40	0.002621598
AT3G09390|AT3G09390.1	AT3G09390	27	27	0.001977506
AT1G04270|AT1G04270.1	AT1G04270	28	48	0.003102756
AT4G19170|AT4G19170.1	AT4G19170	32	40	0.003143093
AT5G10980|AT5G10980.1	AT5G10980	31	43	0.002935478
AT5G10450|AT5G10450.2	AT5G10450	32	36	0.00239875
AT5G58420|AT5G58420.1	AT5G58420	28	38	0.002734278
AT4G02890|AT4G02890.3	AT4G02890	37	47	0.002733246
AT3G56240|AT3G56240.1	AT3G56240	32	40	0.00248139
AT4G30950|AT4G30950.1	AT4G30950	34.5	41	0.002397814
AT5G54280|AT5G54280.1	AT5G54280	43	48	0.002718481
AT1G01620|AT1G01620.2	AT1G01620	32	34	0.002115905
AT5G10450|AT5G10450.4	AT5G10450	32	39	0.002681434
AT1G62380|AT1G62380.1	AT1G62380	30	44	0.003351885
AT4G23400|AT4G23400.1	AT4G23400	29	33	0.002435217
AT3G60750|AT3G60750.1	AT3G60750	36.5	54	0.003283644
AT1G04270|AT1G04270.2	AT1G04270	25	39	0.003063286
AT5G59880|AT5G59880.2	AT5G59880	31	33	0.002456097
AT3G60245|AT3G60245.1	AT3G60245	32.5	49	0.003318584
AT2G47170|AT2G47170.1	AT2G47170	34	47	0.00298576
AT4G32470|AT4G32470.1	AT4G32470	39	40	0.002358007
AT4G32470|AT4G32470.2	AT4G32470	38	39	0.002135528
AT3G14420|AT3G14420.6	AT3G14420	29	42	0.002958762
AT5G53560|AT5G53560.1	AT5G53560	29	27	0.00194846
AT4G34710|AT4G34710.1	AT4G34710	36	49	0.003220876
AT4G02890|AT4G02890.2	AT4G02890	37	38	0.002348443
AT3G24160|AT3G24160.1	AT3G24160	31	28	0.001974984
AT4G05320|AT4G05320.1	AT4G05320	37	57	0.003568385
AT2G39010|AT2G39010.2	AT2G39010	27	36	0.00293627
AT1G79075|AT1G79075.1	AT1G79075	26	35	0.002958371
AT5G10450|AT5G10450.3	AT5G10450	31	34	0.002392058
AT4G25130|AT4G25130.1	AT4G25130	32	38	0.002610811
AT5G10450|AT5G10450.1	AT5G10450	34	43	0.002966669
AT5G19140|AT5G19140.1	AT5G19140	35	35	0.002230866
AT1G19570|AT1G19570.1	AT1G19570	38	52	0.003216986
AT5G28060|AT5G28060.1	AT5G28060	30	39	0.002836225
AT3G18280|AT3G18280.1	AT3G18280	27	32	0.002390265
AT4G02890|AT4G02890.4	AT4G02890	37	49	0.00339187
AT3G19030|AT3G19030.1	AT3G19030	34	41	0.003134218
AT1G01620|AT1G01620.1	AT1G01620	32	36	0.002604482
AT4G05320|AT4G05320.2	AT4G05320	37	46	0.002651802
AT5G61170|AT5G61170.1	AT5G61170	31	23	0.001657967
AT5G56710|AT5G56710.2	AT5G56710	30	49	0.003535651
AT4G35090|AT4G35090.3	AT4G35090	31	34	0.002577158
AT5G21090|AT5G21090.1	AT5G21090	27	34	0.002535462
AT2G01530|AT2G01530.1	AT2G01530	33	35	0.002507952
AT3G56240|AT3G56240.3	AT3G56240	33	31	0.002553085
AT3G12610|AT3G12610.1	AT3G12610	29	27	0.002160848
AT1G80440|AT1G80440.1	AT1G80440	36	36	0.002568347
AT2G39010|AT2G39010.1	AT2G39010	28	40	0.002871991
AT3G14420|AT3G14420.4	AT3G14420	32	27	0.001771031
AT1G51390|AT1G51390.1	AT1G51390	37.5	34	0.002094893
AT3G03100|AT3G03100.1	AT3G03100	30	37	0.002702346
AT3G14420|AT3G14420.3	AT3G14420	31	32	0.00231199
AT2G27860|AT2G27860.1	AT2G27860	28	31	0.002535313
AT5G56710|AT5G56710.1	AT5G56710	30	35	0.002743209
AT1G56280|AT1G56280.1	AT1G56280	38	46	0.003031516
AT1G18540|AT1G18540.1	AT1G18540	29	28	0.002107267
AT5G64400|AT5G64400.1	AT5G64400	39	42	0.002823608
AT2G23070|AT2G23070.1	AT2G23070	27	28	0.002326629
AT5G66400|AT5G66400.2	AT5G66400	26	26	0.002513306
AT3G14420|AT3G14420.2	AT3G14420	31	38	0.002839408
AT5G64770|AT5G64770.1	AT5G64770	30	32	0.002852098
AT4G09800|AT4G09800.1	AT4G09800	30	46	0.003903308
AT2G32690|AT2G32690.4	AT2G32690	34	37	0.002635873
AT2G20670|AT2G20670.1	AT2G20670	33	37	0.002698463
AT1G31812|AT1G31812.1	AT1G31812	35	45	0.003292281
AT4G15000|AT4G15000.1	AT4G15000	31	26	0.001838235
AT1G75690|AT1G75690.1	AT1G75690	34	35	0.002358637
AT3G12120|AT3G12120.2	AT3G12120	41	34	0.001877001
AT3G22600|AT3G22600.1	AT3G22600	34	36	0.002877054
AT3G07230|AT3G07230.1	AT3G07230	24	28	0.002196423
AT3G14420|AT3G14420.1	AT3G14420	30	41	0.003055197
AT3G06125|AT3G06125.3	AT3G06125	28	34	0.002839296
AT3G18280|AT3G18280.2	AT3G18280	27	25	0.002298146
AT4G34190|AT4G34190.1	AT4G34190	34	44	0.003317596
ATMG01380|ATMG01380.1	ATMG01380	22	23	0.002522397
AT2G01250|AT2G01250.1	AT2G01250	25.5	32	0.003220485
AT1G78040|AT1G78040.2	AT1G78040	29	31	0.00259558
AT2G16600|AT2G16600.2	AT2G16600	41	55	0.00346892
AT1G72370|AT1G72370.2	AT1G72370	33	27	0.001889005
AT1G34000|AT1G34000.1	AT1G34000	30	25	0.001853304
AT2G32690|AT2G32690.3	AT2G32690	33	34	0.002643579
AT1G21500|AT1G21500.1	AT1G21500	38	38	0.002605709
AT1G51200|AT1G51200.4	AT1G51200	35	31	0.002192708
AT5G36910|AT5G36910.1	AT5G36910	36	41	0.002850062
AT2G32690|AT2G32690.5	AT2G32690	33	32	0.002903444
AT1G56280|AT1G56280.2	AT1G56280	38	35	0.002439619
AT3G14420|AT3G14420.5	AT3G14420	31	29	0.002151135
AT2G32690|AT2G32690.1	AT2G32690	33.5	41	0.00333595
AT5G21020|AT5G21020.2	AT5G21020	39	44	0.002682036
AT5G15780|AT5G15780.1	AT5G15780	29	20	0.001993944
AT5G01350|AT5G01350.1	AT5G01350	32	32	0.002810406
AT1G78630|AT1G78630.1	AT1G78630	37	48	0.003194088
AT4G37300|AT4G37300.1	AT4G37300	29	30	0.002964061
AT5G01410|AT5G01410.1	AT5G01410	29	34	0.002597777
AT5G66400|AT5G66400.1	AT5G66400	26	33	0.003273858
AT4G09650|AT4G09650.1	AT4G09650	40	49	0.003442545
AT5G09660|AT5G09660.2	AT5G09660	33	38	0.003057896
AT3G56240|AT3G56240.2	AT3G56240	33	32	0.002391527
AT4G15910|AT4G15910.1	AT4G15910	38	40	0.002774011
